R: 42 -> miss (tag 21, index 3)
R: 8 -> miss (tag 4, index 3)
R: 18 -> miss (tag 9, index 3)
W: 42 -> miss (tag 21, index 3)
R: 42 -> hit (tag 21, index 3)
R: 9 -> miss (tag 4, index 3)
R: 22 -> miss (tag 11, index 3)
W: 42 -> miss (tag 21, index 3)
R: 42 -> hit (tag 21, index 3)
R: 10 -> miss (tag 5, index 3)
R: 26 -> miss (tag 13, index 3)
W: 42 -> miss (tag 21, index 3)
R: 42 -> hit (tag 21, index 3)
R: 11 -> miss (tag 5, index 3)
R: 30 -> miss (tag 15, index 3)
W: 42 -> miss (tag 21, index 3)
R: 43 -> hit (tag 21, index 3)
R: 8 -> miss (tag 4, index 3)
R: 19 -> miss (tag 9, index 3)
W: 43 -> miss (tag 21, index 3)
R: 43 -> hit (tag 21, index 3)
R: 9 -> miss (tag 4, index 3)
R: 23 -> miss (tag 11, index 3)
W: 43 -> miss (tag 21, index 3)
R: 43 -> hit (tag 21, index 3)
R: 10 -> miss (tag 5, index 3)
R: 27 -> miss (tag 13, index 3)
W: 43 -> miss (tag 21, index 3)
R: 43 -> hit (tag 21, index 3)
R: 11 -> miss (tag 5, index 3)
R: 31 -> miss (tag 15, index 3)
W: 43 -> miss (tag 21, index 3)
R: 44 -> miss (tag 22, index 3)
R: 12 -> miss (tag 6, index 3)
R: 16 -> hit (tag 8, index 3)
W: 44 -> miss (tag 22, index 3)
R: 44 -> hit (tag 22, index 3)
R: 13 -> miss (tag 6, index 3)
R: 20 -> hit (tag 10, index 3)
W: 44 -> miss (tag 22, index 3)
R: 44 -> hit (tag 22, index 3)
R: 14 -> miss (tag 7, index 3)
R: 24 -> hit (tag 12, index 3)
W: 44 -> miss (tag 22, index 3)
R: 44 -> hit (tag 22, index 3)
R: 15 -> miss (tag 7, index 3)
R: 28 -> hit (tag 14, index 3)
W: 44 -> miss (tag 22, index 3)
R: 45 -> hit (tag 22, index 3)
R: 12 -> miss (tag 6, index 3)
R: 17 -> hit (tag 8, index 3)
W: 45 -> miss (tag 22, index 3)
R: 45 -> hit (tag 22, index 3)
R: 13 -> miss (tag 6, index 3)
R: 21 -> hit (tag 10, index 3)
W: 45 -> miss (tag 22, index 3)
R: 45 -> hit (tag 22, index 3)
R: 14 -> miss (tag 7, index 3)
R: 25 -> hit (tag 12, index 3)
W: 45 -> miss (tag 22, index 3)
R: 45 -> hit (tag 22, index 3)
R: 15 -> miss (tag 7, index 3)
R: 29 -> hit (tag 14, index 3)
W: 45 -> miss (tag 22, index 3)
R: 46 -> miss (tag 23, index 3)
R: 12 -> miss (tag 6, index 3)
R: 18 -> miss (tag 9, index 3)
W: 46 -> miss (tag 23, index 3)
R: 46 -> hit (tag 23, index 3)
R: 13 -> miss (tag 6, index 3)
R: 22 -> miss (tag 11, index 3)
W: 46 -> miss (tag 23, index 3)
R: 46 -> hit (tag 23, index 3)
R: 14 -> miss (tag 7, index 3)
R: 26 -> miss (tag 13, index 3)
W: 46 -> miss (tag 23, index 3)
R: 46 -> hit (tag 23, index 3)
R: 15 -> miss (tag 7, index 3)
R: 30 -> miss (tag 15, index 3)
W: 46 -> miss (tag 23, index 3)
R: 47 -> hit (tag 23, index 3)
R: 12 -> miss (tag 6, index 3)
