R: 32 -> miss (tag 4, index 0)
R: 0 -> miss (tag 0, index 0)
R: 16 -> miss (tag 2, index 0)
W: 32 -> miss (tag 4, index 0)
R: 33 -> hit (tag 4, index 0)
R: 0 -> miss (tag 0, index 0)
R: 17 -> miss (tag 2, index 0)
W: 33 -> miss (tag 4, index 0)
R: 34 -> miss (tag 4, index 1)
R: 0 -> miss (tag 0, index 0)
R: 18 -> miss (tag 2, index 1)
W: 34 -> hit (tag 4, index 1)
R: 35 -> hit (tag 4, index 1)
R: 0 -> hit (tag 0, index 0)
R: 19 -> hit (tag 2, index 1)
W: 35 -> hit (tag 4, index 1)
R: 32 -> hit (tag 4, index 0)
R: 1 -> hit (tag 0, index 0)
R: 20 -> miss (tag 2, index 2)
W: 32 -> hit (tag 4, index 0)
R: 33 -> hit (tag 4, index 0)
R: 1 -> hit (tag 0, index 0)
R: 21 -> hit (tag 2, index 2)
W: 33 -> hit (tag 4, index 0)
R: 34 -> hit (tag 4, index 1)
R: 1 -> hit (tag 0, index 0)
R: 22 -> miss (tag 2, index 3)
W: 34 -> hit (tag 4, index 1)
R: 35 -> hit (tag 4, index 1)
R: 1 -> hit (tag 0, index 0)
R: 23 -> hit (tag 2, index 3)
W: 35 -> hit (tag 4, index 1)
R: 32 -> hit (tag 4, index 0)
R: 2 -> miss (tag 0, index 1)
R: 24 -> miss (tag 3, index 0)
W: 32 -> hit (tag 4, index 0)
R: 33 -> hit (tag 4, index 0)
R: 2 -> hit (tag 0, index 1)
R: 25 -> hit (tag 3, index 0)
W: 33 -> hit (tag 4, index 0)
R: 34 -> hit (tag 4, index 1)
R: 2 -> hit (tag 0, index 1)
R: 26 -> miss (tag 3, index 1)
W: 34 -> miss (tag 4, index 1)
R: 35 -> hit (tag 4, index 1)
R: 2 -> miss (tag 0, index 1)
R: 27 -> miss (tag 3, index 1)
W: 35 -> miss (tag 4, index 1)
R: 32 -> hit (tag 4, index 0)
R: 3 -> miss (tag 0, index 1)
R: 28 -> miss (tag 3, index 2)
W: 32 -> hit (tag 4, index 0)
R: 33 -> hit (tag 4, index 0)
R: 3 -> hit (tag 0, index 1)
R: 29 -> hit (tag 3, index 2)
W: 33 -> hit (tag 4, index 0)
R: 34 -> hit (tag 4, index 1)
R: 3 -> hit (tag 0, index 1)
R: 30 -> miss (tag 3, index 3)
W: 34 -> hit (tag 4, index 1)
R: 35 -> hit (tag 4, index 1)
R: 3 -> hit (tag 0, index 1)
R: 31 -> hit (tag 3, index 3)
W: 35 -> hit (tag 4, index 1)
R: 36 -> miss (tag 4, index 2)
R: 4 -> miss (tag 0, index 2)
R: 16 -> miss (tag 2, index 0)
W: 36 -> hit (tag 4, index 2)
R: 37 -> hit (tag 4, index 2)
R: 4 -> hit (tag 0, index 2)
R: 17 -> hit (tag 2, index 0)
W: 37 -> hit (tag 4, index 2)
R: 38 -> miss (tag 4, index 3)
R: 4 -> hit (tag 0, index 2)
R: 18 -> miss (tag 2, index 1)
W: 38 -> hit (tag 4, index 3)
R: 39 -> hit (tag 4, index 3)
R: 4 -> hit (tag 0, index 2)
R: 19 -> hit (tag 2, index 1)
W: 39 -> hit (tag 4, index 3)
R: 36 -> hit (tag 4, index 2)
R: 5 -> hit (tag 0, index 2)
R: 20 -> miss (tag 2, index 2)
W: 36 -> miss (tag 4, index 2)
R: 37 -> hit (tag 4, index 2)
R: 5 -> miss (tag 0, index 2)
R: 21 -> miss (tag 2, index 2)
W: 37 -> miss (tag 4, index 2)
