R: 42 -> miss (tag 2, index 5)
R: 8 -> miss (tag 0, index 4)
R: 18 -> hit (tag 1, index 1)
W: 42 -> hit (tag 2, index 5)
R: 42 -> hit (tag 2, index 5)
R: 9 -> hit (tag 0, index 4)
R: 22 -> miss (tag 1, index 3)
W: 42 -> hit (tag 2, index 5)
R: 42 -> hit (tag 2, index 5)
R: 10 -> miss (tag 0, index 5)
R: 26 -> miss (tag 1, index 5)
W: 42 -> miss (tag 2, index 5)
R: 42 -> hit (tag 2, index 5)
R: 11 -> miss (tag 0, index 5)
R: 30 -> hit (tag 1, index 7)
W: 42 -> miss (tag 2, index 5)
R: 43 -> hit (tag 2, index 5)
R: 8 -> hit (tag 0, index 4)
R: 19 -> hit (tag 1, index 1)
W: 43 -> hit (tag 2, index 5)
R: 43 -> hit (tag 2, index 5)
R: 9 -> hit (tag 0, index 4)
R: 23 -> hit (tag 1, index 3)
W: 43 -> hit (tag 2, index 5)
R: 43 -> hit (tag 2, index 5)
R: 10 -> miss (tag 0, index 5)
R: 27 -> miss (tag 1, index 5)
W: 43 -> miss (tag 2, index 5)
R: 43 -> hit (tag 2, index 5)
R: 11 -> miss (tag 0, index 5)
R: 31 -> hit (tag 1, index 7)
W: 43 -> miss (tag 2, index 5)
R: 44 -> miss (tag 2, index 6)
R: 12 -> miss (tag 0, index 6)
R: 16 -> hit (tag 1, index 0)
W: 44 -> miss (tag 2, index 6)
R: 44 -> hit (tag 2, index 6)
R: 13 -> miss (tag 0, index 6)
R: 20 -> hit (tag 1, index 2)
W: 44 -> miss (tag 2, index 6)
R: 44 -> hit (tag 2, index 6)
R: 14 -> miss (tag 0, index 7)
R: 24 -> miss (tag 1, index 4)
W: 44 -> hit (tag 2, index 6)
R: 44 -> hit (tag 2, index 6)
R: 15 -> hit (tag 0, index 7)
R: 28 -> miss (tag 1, index 6)
W: 44 -> miss (tag 2, index 6)
R: 45 -> hit (tag 2, index 6)
R: 12 -> miss (tag 0, index 6)
R: 17 -> hit (tag 1, index 0)
W: 45 -> miss (tag 2, index 6)
R: 45 -> hit (tag 2, index 6)
R: 13 -> miss (tag 0, index 6)
R: 21 -> hit (tag 1, index 2)
W: 45 -> miss (tag 2, index 6)
R: 45 -> hit (tag 2, index 6)
R: 14 -> hit (tag 0, index 7)
R: 25 -> hit (tag 1, index 4)
W: 45 -> hit (tag 2, index 6)
R: 45 -> hit (tag 2, index 6)
R: 15 -> hit (tag 0, index 7)
R: 29 -> miss (tag 1, index 6)
W: 45 -> miss (tag 2, index 6)
R: 46 -> miss (tag 2, index 7)
R: 12 -> miss (tag 0, index 6)
R: 18 -> hit (tag 1, index 1)
W: 46 -> hit (tag 2, index 7)
R: 46 -> hit (tag 2, index 7)
R: 13 -> hit (tag 0, index 6)
R: 22 -> hit (tag 1, index 3)
W: 46 -> hit (tag 2, index 7)
R: 46 -> hit (tag 2, index 7)
R: 14 -> miss (tag 0, index 7)
R: 26 -> miss (tag 1, index 5)
W: 46 -> miss (tag 2, index 7)
R: 46 -> hit (tag 2, index 7)
R: 15 -> miss (tag 0, index 7)
R: 30 -> miss (tag 1, index 7)
W: 46 -> miss (tag 2, index 7)
R: 47 -> hit (tag 2, index 7)
R: 12 -> hit (tag 0, index 6)
R: 19 -> hit (tag 1, index 1)
W: 47 -> hit (tag 2, index 7)
R: 47 -> hit (tag 2, index 7)
R: 13 -> hit (tag 0, index 6)
R: 23 -> hit (tag 1, index 3)
W: 47 -> hit (tag 2, index 7)
R: 47 -> hit (tag 2, index 7)
R: 14 -> miss (tag 0, index 7)
R: 27 -> hit (tag 1, index 5)
W: 47 -> miss (tag 2, index 7)
R: 47 -> hit (tag 2, index 7)
R: 15 -> miss (tag 0, index 7)
R: 31 -> miss (tag 1, index 7)
W: 47 -> miss (tag 2, index 7)
